BCC,CLASSIFICATION,BUSINESS_TYPE,SIC
4097,NONPROFIT,NON PROFIT THEATER,"8699-MEMBERSHIP ORGANIZATIONS, NEC"
1005,CLASSA,AIR CONDITIONERS/HEAT/SUPPLY,"1711-PLUMBING, HEATING, AIR-CONDITIONING"
1010,CLASSA,ANTIQUES,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1015,CLASSA,APPLIANCES/ELECT EQUIP/SUPPLY,5399-MISC. GENERAL MERCHANDISE STORES
1020,CLASSA,AUTO PARTS/TIRES/BATT/SUPPLY,5531-AUTO AND HOME SUPPLY STORES
1025,CLASSA,AUTOS/MOTOR VEHICLES/NEW,5511-NEW AND USED CAR DEALERS
1030,CLASSA,AUTOS/MOTOR VEHICLES/USED,5521-USED CAR DEALERS
1035,CLASSA,BAKERY/DONUT SHOPS & RELATED,5461-RETAIL BAKERIES
1040,CLASSA,"BARS, NIGHT CLUBS, TAVERNS",5813-DRINKING PLACES
1045,CLASSA,BICYCLES & PARTS,5941-SPORTING GOODS AND BICYCLE SHOPS
1050,CLASSA,BLDG MATERIAL EXCEPT LUMBER,5251-HARDWARE STORES
1055,CLASSA,BOOKS/MAGAZINES/PERIODICALS,5942-BOOK STORES
1060,CLASSA,"CANDY, NUTS, & CONFECTIONARY","5441-CANDY, NUT, AND CONFECTIONERY STORES"
1065,CLASSA,"CHINA, GLASSWARE, METALWARE","5999-MISCELLANEOUS RETAIL STORES, NEC"
1070,CLASSA,CLOTHING & RELATED RETAIL,5699-MISC. APPAREL & ACCESSORY STORES
1075,CLASSA,COINS/STAMPS/PRECIOUS METALS,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1077,CLASSA,COMPUTER EQUIP/SOFTWARE,5734-COMPUTER AND SOFTWARE STORES
1080,CLASSA,COSMETICS/BEAUTY SUPPLIES,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1085,CLASSA,CRAFTS/IMPORTS RETAIL,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1090,CLASSA,DAIRY PRODUCTS - RETAIL,5451-DAIRY PRODUCTS STORES
1095,CLASSA,DELICATESSEN,5499-MISCELLANEOUS FOOD STORES
1096,CLASSA,DRAPERY,5714-DRAPERY AND UPHOLSTERY STORES
1097,CLASSA,DEPARTMENT STORES,5311-DEPARTMENT STORES
1098,CLASSA,DRUG STORES,5912-DRUG STORES AND PROPRIETARY STORES
1100,CLASSA,ELECT COMPONENTS/ACCES/EQUIP,"7629-ELECTRICAL REPAIR SHOPS, NEC"
1105,CLASSA,FABRICS & RELATED PRODUCTS,"5949-SEWING, NEEDLEWORK, AND PIECE GOODS"
1110,CLASSA,"FISH/SEAFOOD, FRESH - RETAIL",5421-MEAT AND FISH MARKETS
1115,CLASSA,FLOOR COVERING CARPET/LINOLEUM,5713-FLOOR COVERING STORES
1120,CLASSA,FLORIST,5992-FLORISTS
1125,CLASSA,FOOD CATERING,5499-MISCELLANEOUS FOOD STORES
1130,CLASSA,FURNITURE/HOME FURNISHING/MISC,5719-MISC. HOMEFURNISHINGS STORES
1135,CLASSA,GAMES/TOYS/HOBBY SUPPLIES,"5945-HOBBY, TOY, AND GAME SHOPS"
1140,CLASSA,GASOLINE SERVICE STATIONS,5541-GASOLINE SERVICE STATIONS
1145,CLASSA,GIFTS/NOVELTIES/GREETING CARDS,"5947-GIFT, NOVELTY, AND SOUVENIR SHOPS"
1150,CLASSA,GLASS/PLATE/WINDOWS/MISC,5211-LUMBER AND OTHER BUILDING MATERIALS
1155,CLASSA,GROCERIES & RELATED - RETAIL,5411-GROCERY STORES
1160,CLASSA,GUN SALES/SUPPLIES,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1165,CLASSA,HARDWARE/BLDG SUPPLY - RETAIL,5251-HARDWARE STORES
1170,CLASSA,HEALTH FOOD & RELATED - RETAIL,5499-MISCELLANEOUS FOOD STORES
1175,CLASSA,ICE/ICE CREAM/FROZEN PRODUCTS,5421-MEAT AND FISH MARKETS
1180,CLASSA,JEWELRY,5944-JEWELRY STORES
1185,CLASSA,KEY/LOCK SHOPS - RETAIL,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1190,CLASSA,LEATHER GOODS,5699-MISC. APPAREL & ACCESSORY STORES
1195,CLASSA,LIQUOR STORE,5421-MEAT AND FISH MARKETS
1200,CLASSA,LUMBER YARDS,5211-LUMBER AND OTHER BUILDING MATERIALS
1205,CLASSA,MAIL ORDER,5961-CATALOG AND MAIL-ORDER HOUSES
1210,CLASSA,MARINE CRAFT/ACCESSORIES,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1215,CLASSA,MEAT/MEAT PRODUCTS - RETAIL,5421-MEAT AND FISH MARKETS
1220,CLASSA,MISC FOOD TRADE - RETAIL,5499-MISCELLANEOUS FOOD STORES
1225,CLASSA,"MISC RETAIL TRADE, OTHER",5499-MISCELLANEOUS FOOD STORES
1230,CLASSA,MOTORCYCLES/SCOOTERS/PTS/ACCES,5571-MOTORCYCLE DEALERS
1235,CLASSA,MUSICAL INSTRUMENTS & RELATED,5900-MISC RETAIL
1240,CLASSA,NURSERIES - FLOWER & STOCK,5261-RETAIL NURSERIES AND GARDEN STORES
1245,CLASSA,NURSERIES - GARDEN SUPPLY,5261-RETAIL NURSERIES AND GARDEN STORES
1250,CLASSA,OFFICE EQUIP/FURN/MACH/SUPPLY,5712-FURNITURE STORES
1255,CLASSA,PAINT/WALL PAPER - RETAIL,"5231-PAINT, GLASS, AND WALLPAPER STORES"
1260,CLASSA,PATIO/POOL/SUPPLY - RETAIL,5091-SPORTING & RECREATIONAL GOODS
1265,CLASSA,PAWN SHOPS,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1270,CLASSA,PET SALES & SUPPLIES,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1275,CLASSA,PHOTOGRAPHIC EQUIP/SUPPLY,5946-CAMERA & PHOTOGRAPHIC SUPPLY STORES
1280,CLASSA,"PICTURE FRAMES, MIRRORS, ETC",5399-MISC. GENERAL MERCHANDISE STORES
1285,CLASSA,PLUMBING/HEATING EQUIP/SUPPLY,5074-PLUMBING & HYDRONIC HEATING SUPPLIES
1290,CLASSA,POTTERY & RELATED PRODUCTS,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1295,CLASSA,PRESCRIPTION PHARMACY,5912-DRUG STORES AND PROPRIETARY STORES
1300,CLASSA,PRODUCE - RETAIL,5431-FRUIT AND VEGETABLE MARKETS
1305,CLASSA,RADIO/T.V./STEREO - RETAIL,"5731-RADIO, TV, & ELECTRONIC STORES"
1308,CLASSA,RECORDS/COMPACT DISCS/TAPES,3600-ELECTRIC & ELECTRONIC EQUIPMENT
1310,CLASSA,RECREATION VEHICLE/ACCESSORY,5561-RECREATIONAL VEHICLE DEALERS
1315,CLASSA,RESTAURANTS,5812-EATING PLACES
1320,CLASSA,RESTAURANT/SHORTORDER/SNACKBAR,5812-EATING PLACES
1322,CLASSA,SECONDHAND MERCHANDISE-GENERAL,5932-USED MERCHANDISE STORES
1323,CLASSA,SHOES - ADULT & CHILDREN,5661-SHOE STORES
1325,CLASSA,SOLAR EQUIP/ACCESSORIES/SUPPLY,5074-PLUMBING & HYDRONIC HEATING SUPPLIES
1330,CLASSA,SPECIAL EQUIP/MACHINERY/SUPPLY,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1335,CLASSA,SPECIALTY SHOPS - RETAIL,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1340,CLASSA,SPORTING GOODS/EQUIP - RETAIL,5941-SPORTING GOODS AND BICYCLE SHOPS
1345,CLASSA,STATIONERY & SUPPLIES,5399-MISC. GENERAL MERCHANDISE STORES
1347,CLASSA,TELEPHONE EQUIPMENT,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1350,CLASSA,TOBACCO & RELATED PRODUCTS,5993-TOBACCO STORES AND STANDS
