Code,Industry,Subtype
0,Agriculture and Forestry,Agriculture / Grazing Services
10,Agriculture and Forestry,"Forestry Services, other"
100,"Industry, Manufacturing and Production","Food and Beverage Preparation, Production"
105,"Industry, Manufacturing and Production","Millwork Textile Products (knit goods, dying, woven fabric)"
110,"Industry, Manufacturing and Production","Clothing, Leather Tanning"
115,"Industry, Manufacturing and Production","Wood products, Lumber and Fuelwood"
120,"Industry, Manufacturing and Production",Furniture and Fixtures
125,"Industry, Manufacturing and Production",Paper and Allied Products
130,"Industry, Manufacturing and Production",Chemicals and Allied Products
135,"Industry, Manufacturing and Production","Rubber, Plastic, Misc. Materials and Products"
140,"Industry, Manufacturing and Production","Stone, Clay, Glass Products"
145,"Industry, Manufacturing and Production",Primary Metals and Materials Industry
150,"Industry, Manufacturing and Production",Fabricated Medal Products
150A,"Industry, Manufacturing and Production",Electronic Equipment and Manufacturing
150B,"Industry, Manufacturing and Production",Transportation building and equipment
150C,"Industry, Manufacturing and Production",Misc. Fabricated Metal Products
155,"Industry, Manufacturing and Production",Other Manufacturing and Processing Undistries
155A,"Industry, Manufacturing and Production",Fabricated Wire Products
155B,"Industry, Manufacturing and Production",Industrial Machining / Equipment
155C,"Industry, Manufacturing and Production",Solar Equipment / Related
155D,"Industry, Manufacturing and Production",Software
155E,"Industry, Manufacturing and Production",Motion Picture Production
155F,"Industry, Manufacturing and Production","Petroleum, bulk"
155G,"Industry, Manufacturing and Production",Prefabricated Wood Buildings
155H,"Industry, Manufacturing and Production",Pressed and Molded Goods
155I,"Industry, Manufacturing and Production",Scraps and Waste Materials
155J,"Industry, Manufacturing and Production",Mic. Manufacturing and Processing
200,Trade (Wholesale and Retail),Wholesale (Non Durable Goods)
200A,Trade (Wholesale and Retail),Bakery
200B,Trade (Wholesale and Retail),Confectionary and Related
200C,Trade (Wholesale and Retail),Dairy Products
200D,Trade (Wholesale and Retail),Chemicals and Related
200E,Trade (Wholesale and Retail),Drugs / Sundries and related
200F,Trade (Wholesale and Retail),Fish / Seafood
200G,Trade (Wholesale and Retail),Frozen Foods
200H,Trade (Wholesale and Retail),Health Foods
200I,Trade (Wholesale and Retail),Meat/Meat Products
200J,Trade (Wholesale and Retail),Misc. Food Trade
200K,Trade (Wholesale and Retail),Poultry / Poultry Products
200L,Trade (Wholesale and Retail),Produce
200M,Trade (Wholesale and Retail),Alcohol Distribution
210,Trade (Wholesale and Retail),Wholesale (Durable Goods)
210A,Trade (Wholesale and Retail),Building Materials
210B,Trade (Wholesale and Retail),Industrial Supplies
210C,Trade (Wholesale and Retail),Lumber and Construction Materials
210D,Trade (Wholesale and Retail),Nursery Products and related
210E,Trade (Wholesale and Retail),Paper Products and related
210F,Trade (Wholesale and Retail),Special Equipment / Machine Supply
210G,Trade (Wholesale and Retail),Software
210H,Trade (Wholesale and Retail),Misc. Wholesale Trade
220,Trade (Wholesale and Retail),Retail (Building Materials / Garden Supplies)
220A,Trade (Wholesale and Retail),Hardware/Building Materials except lumber
220B,Trade (Wholesale and Retail),Lumberyard
220C,Trade (Wholesale and Retail),Air Conditioning / Heating / Plumbing / Electrical
200D,Trade (Wholesale and Retail),Paint / Glass / Wallpaper
220E,Trade (Wholesale and Retail),Solar Equipment and Supply
220F,Trade (Wholesale and Retail),Nursery - Flower and Stock
220G,Trade (Wholesale and Retail),Nursery - Garden and Supply
230,Trade (Wholesale and Retail),Retail (General Merchandise)
230A,Trade (Wholesale and Retail),Department Store
230B,Trade (Wholesale and Retail),Variety Store
230C,Trade (Wholesale and Retail),Variety / Drug Store
240,Trade (Wholesale and Retail),Retail (Food and Beverage Stores)
240A,Trade (Wholesale and Retail),Grovery and Related Retail
240B,Trade (Wholesale and Retail),Convenience  / Liquor Store
240C,Trade (Wholesale and Retail),Seafood/Fishmarket
