700,Agriculture and Forestry,Agriculture / Grazing Services
850,Agriculture and Forestry,"Forestry Services, other"
2000,"Industry, Manufacturing and Production","Food and Beverage Preparation, Production"
2200,"Industry, Manufacturing and Production","Millwork Textile Products (knit goods, dying, woven fabric)"
3110,"Industry, Manufacturing and Production","Clothing, Leather Tanning"
2400,"Industry, Manufacturing and Production","Wood products, Lumber and Fuelwood"
2500,"Industry, Manufacturing and Production",Furniture and Fixtures
5110,"Industry, Manufacturing and Production",Paper and Allied Products
2800,"Industry, Manufacturing and Production",Chemicals and Allied Products
3000,"Industry, Manufacturing and Production","Rubber, Plastic, Misc. Materials and Products"
3200,"Industry, Manufacturing and Production","Stone, Clay, Glass Products"
3300,"Industry, Manufacturing and Production",Primary Metals and Materials Industry
3440,"Industry, Manufacturing and Production",Fabricated Medal Products
3600,"Industry, Manufacturing and Production",Electronic Equipment and Manufacturing
3799,"Industry, Manufacturing and Production",Transportation building and equipment
3490,"Industry, Manufacturing and Production",Misc. Fabricated Metal Products
3999,"Industry, Manufacturing and Production",Other Manufacturing and Processing Undistries
3496,"Industry, Manufacturing and Production",Fabricated Wire Products
3560,"Industry, Manufacturing and Production",Industrial Machining / Equipment
3674,"Industry, Manufacturing and Production",Solar Equipment / Related
7372,"Industry, Manufacturing and Production",Software
7810,"Industry, Manufacturing and Production",Motion Picture Production
5170,"Industry, Manufacturing and Production","Petroleum, bulk"
2452,"Industry, Manufacturing and Production",Prefabricated Wood Buildings
3390,"Industry, Manufacturing and Production",Pressed and Molded Goods
5093,"Industry, Manufacturing and Production",Scraps and Waste Materials
3900,"Industry, Manufacturing and Production",Mic. Manufacturing and Processing
5100,Trade (Wholesale and Retail),Wholesale (Non Durable Goods)
2050,Trade (Wholesale and Retail),Bakery
5440,Trade (Wholesale and Retail),Confectionary and Related
2020,Trade (Wholesale and Retail),Dairy Products
2800,Trade (Wholesale and Retail),Chemicals and Related
5120,Trade (Wholesale and Retail),Drugs / Sundries and related
5146,Trade (Wholesale and Retail),Fish/Seafood
5142,Trade (Wholesale and Retail),Frozen Foods
5490,Trade (Wholesale and Retail),Health Foods
5147,Trade (Wholesale and Retail),Meat/Meat Products
5410,Trade (Wholesale and Retail),Misc. Food Trade
5144,Trade (Wholesale and Retail),Poultry/Poultry Products
5430,Trade (Wholesale and Retail),Produce
5920,Trade (Wholesale and Retail),Alcohol Distribution
5099,Trade (Wholesale and Retail),Wholesale (Durable Goods)
5200,Trade (Wholesale and Retail),Building Materials
5085,Trade (Wholesale and Retail),Industrial Supplies
5030,Trade (Wholesale and Retail),Lumber and Construction Materials
5260,Trade (Wholesale and Retail),Nursery Products and related
2600,Trade (Wholesale and Retail),Paper Products and related
5080,Trade (Wholesale and Retail),Special Equipment / Machine Supply
5734,Trade (Wholesale and Retail),Software
0,Trade (Wholesale and Retail),Misc. Wholesale Trade
5200,Trade (Wholesale and Retail),Retail (Building Materials / Garden Supplies)
5250,Trade (Wholesale and Retail),Hardware/Building Materials except lumber
5210,Trade (Wholesale and Retail),Lumberyard
1710,Trade (Wholesale and Retail),Air Conditionsin / Heating / Plumbing / Electrical
5230,Trade (Wholesale and Retail),Paint / Glass / Wallpaper
1710,Trade (Wholesale and Retail),Solar Equipment and Supply
5193,Trade (Wholesale and Retail),Nursery - Flower and Stock
5193,Trade (Wholesale and Retail),Nursery - Garden and Supply
0,Trade (Wholesale and Retail),Retail (General Merchandise)
5310,Trade (Wholesale and Retail),Department Store
5330,Trade (Wholesale and Retail),Variety Store
5910,Trade (Wholesale and Retail),Variety / Drug Store
5410,Trade (Wholesale and Retail),Retail (Food and Beverage Stores)
5140,Trade (Wholesale and Retail),Grovery and Related Retail
5920,Trade (Wholesale and Retail),Convenience  / Liquor Store
5420,Trade (Wholesale and Retail),Seafood/Fishmarket
5420,Trade (Wholesale and Retail),Butcher Shop
5490,Trade (Wholesale and Retail),Health Foods
2020,Trade (Wholesale and Retail),Dairy Products
5430,Trade (Wholesale and Retail),Produce
5400,Trade (Wholesale and Retail),Misc/ Food Trade
5600,Trade (Wholesale and Retail),Retail (Apparel and Accessory Stores)
5650,Trade (Wholesale and Retail),Clothing and Related Retail
5660,Trade (Wholesale and Retail),Shoe Store
5944,Trade (Wholesale and Retail),Jewelry Store
2299,Trade (Wholesale and Retail),Fabric and Related
3190,Trade (Wholesale and Retail),Leather Goods
5590,Trade (Wholesale and Retail),Retail (Motor Vehicle Dealers and Supply)
5510,Trade (Wholesale and Retail),New Auto
5520,Trade (Wholesale and Retail),Used Auto
5530,Trade (Wholesale and Retail),Auto Supply Store
3750,Trade (Wholesale and Retail),Mortorcycle / Scooter and Supply
5560,Trade (Wholesale and Retail),Recreation Vehicles
5020,Trade (Wholesale and Retail),Retail (Home Furnishings)
5720,Trade (Wholesale and Retail),Appliance
5710,Trade (Wholesale and Retail),Antiques
5710,Trade (Wholesale and Retail),Furniture and Home Furnishings ect.
5714,Trade (Wholesale and Retail),Drapery
3253,Trade (Wholesale and Retail),Floor Covering / Tile
5700,Trade (Wholesale and Retail),Patio and Pool Supplies
5731,Trade (Wholesale and Retail),TV/Stereo
5710,Trade (Wholesale and Retail),"China, Glassware, Metalware"
5800,Trade (Wholesale and Retail),Retail (Eating and Drinking Establishments)
5800,Trade (Wholesale and Retail),Restaurant
5800,Trade (Wholesale and Retail),Deli
5800,Trade (Wholesale and Retail),"Bar.Cocktail, Lounge Tavern"
2050,Trade (Wholesale and Retail),"Bakery/Donuts/Coolies, related"
2064,Trade (Wholesale and Retail),Candy/nuts and confections
2024,Trade (Wholesale and Retail),Ice Cream/Ice/Yogurt/Frozen Products
5800,Trade (Wholesale and Retail),Cafâ  Â©/Coffee Shop
5800,Trade (Wholesale and Retail),Fast Food/Snack Bar
5999,Trade (Wholesale and Retail),Retail (Specialty/Supply Stores)
5947,Trade (Wholesale and Retail),Stationery / Gift/Novelty
5941,Trade (Wholesale and Retail),"Sporting Goods, Bike Store"
5992,Trade (Wholesale and Retail),Florist
5946,Trade (Wholesale and Retail),"Camera, Photo Quipment, Developing and Suplly"
5736,Trade (Wholesale and Retail),Music Store (Instrument and Record)
5710,Trade (Wholesale and Retail),Picture Frames and Mirrors
5192,Trade (Wholesale and Retail),"Books, Magazines, Comins and Periodicals"
5044,Trade (Wholesale and Retail),"Office, Store, School Furniture, Equipment Supply"
132 - this is for a farm ,Trade (Wholesale and Retail),Tabacconist
5940,Trade (Wholesale and Retail),"Crasts, Imports, Arts"
3940,Trade (Wholesale and Retail),"Games, Hobbies, Toys"
5990,Trade (Wholesale and Retail),Pet Sales and Supplies
5930,Trade (Wholesale and Retail),Second Hand Merchandise/Thrift Shop
5094,Trade (Wholesale and Retail),"Coins, Stams, Precious Metals"
5734,Trade (Wholesale and Retail),Computer Equipment Software
2844,Trade (Wholesale and Retail),Cosmetics/Perfumes
5910,Trade (Wholesale and Retail),Pharmacy
5941,Trade (Wholesale and Retail),Guns and Supplies
5250,Trade (Wholesale and Retail),Keys and Lock Shop
5961,Trade (Wholesale and Retail),Mail Order
5550,Trade (Wholesale and Retail),Marin Craft/Accessories (Boats)
5930,Trade (Wholesale and Retail),Pawn Shop
3260 - this is mft,Trade (Wholesale and Retail),Pottery Shop
3600 - this is mft ,Trade (Wholesale and Retail),Video/Electronic/Telephone Components and Equipment
5046,Trade (Wholesale and Retail),Special Equipment / Machine/Supply
5900,Trade (Wholesale and Retail),Misc. Specialty Retail
7020,Commercial Services,Lodging
7010,Commercial Services,Hotel/Motel
7020,Commercial Services,Motel/ Winter SRO
7010,Commercial Services,Bed and Breakfast
7389,Commercial Services,Professional / Personal Service
4513,Commercial Services,Delivery (includes FedEx UPS)
782,Commercial Services,Landscaping / Gardening
2759,Commercial Services,Printing
7335,Commercial Services,Photography
1500,Commercial Services,Contractor / Building / Development / Remodel
4724,Commercial Services,Travel Agency
7211,Commercial Services,Drycleaning / Laundry
7230,Commercial Services,Beauty Salon / Haircutting
7260,Commercial Services,Burial ? Mortuary / Cemetary/ Mausoluem
,Commercial Services,Catering
7389,Commercial Services,Misc. Professional / Personal Services
7920,Commercial Services,Musicians
6282,Commercial Services,Financial Services
6021,Commercial Services,Banking & Saving and Loans
6111,Commercial Services,Credit Agency (other than banks)
7322,Commercial Services,Collection Agency
4225,Commercial Services,Storage and Warehousing
5690,Commercial Services,"Retail, Alterations, Service Maintainence"
7250,Commercial Services,Shoe
