Industry,Subtype,Code,Industry + Subtype,"Recheck (FALSE means its passed the recheck, TRUE means, find a new code, TRUE - FIXED means its done and see Column H for the new code, NULL for a residential / non industrious use",SIC Industry Name,SIC Code,"Alternate or better code sourced from http://www.osha.gov Notice that numbers that end in 0 typically are  Group, while those that end in ""1"" are the definition we are looking for",Source Citation ,,
Agriculture and Forestry,Agriculture / Grazing Services,0,Agriculture and Forestry: Agriculture / Grazing Services,FALSE,Agricultural Services,700,,,,
Agriculture and Forestry,"Forestry Services, other",10,"Agriculture and Forestry: Forestry Services, other",FALSE,Forestry Services,850,,,,
"Industry, Manufacturing and Production","Food and Beverage Preparation, Production",100,"Industry, Manufacturing and Production: Food and Beverage Preparation, Production",TRUE - FIXED ,Food And Kindred Products,2000,2090,This is a group code,,
"Industry, Manufacturing and Production","Millwork Textile Products (knit goods, dying, woven fabric)",105,"Industry, Manufacturing and Production: Millwork Textile Products (knit good, dying, woven fabric)",FALSE,Textile Mill Products,2200,,,,
"Industry, Manufacturing and Production","Clothing, Leather Tanning",110,"Industry, Manufacturing and Production: Clothing, Leather Tanning",FALSE,Leather Tanning And Finishing,3110,,,,
"Industry, Manufacturing and Production","Wood products, Lumber and Fuelwood",115,"Industry, Manufacturing and Production: Wood products, Lumber and Fuelwood",FALSE,"Lumber And Wood Products, Except Furniture",2400,,,,
"Industry, Manufacturing and Production",Furniture and Fixtures,120,"Industry, Manufacturing and Production: Furniture and Fixtures",TRUE - FIXED ,Furniture And Fixtures,2500,2599,http://www.osha.gov/pls/imis/sic_manual.display?id=567&tab=description,,
"Industry, Manufacturing and Production",Paper and Allied Products,125,"Industry, Manufacturing and Production: Paper and Allied Products",TRUE - FIXED ,Paper And Paper Products,5110,5111,,,
"Industry, Manufacturing and Production",Chemicals and Allied Products,130,"Industry, Manufacturing and Production: Chemicals and Allied Products",FALSE,Chemicals And Allied Products,2800,2899,http://www.osha.gov/pls/imis/sic_manual.display?id=626&tab=description,,
"Industry, Manufacturing and Production","Rubber, Plastic, Misc. Materials and Products",135,"Industry, Manufacturing and Production: Rubber, Plastic, Misc. Materials and Products",TRUE - FIXED ,Rubber And Miscellaneous Plastics Products,3000,2821,http://www.osha.gov/pls/imis/sic_manual.display?id=603&tab=description,,
