ZONING DISTRICT CODE,ZONING DISTRICT NAME,ZONING DISTRICT DESCRIPTION,HOME OCCS ALLOWED?,"PRINCIPALLY-PERMITTED USES
(ZONING CLEARANCE)",,"NON-PRINCIPALLY-PERMITTED USES
(ADMINISTRATIVE USE PERMIT)",,"NON-PRINCIPALLY-PERMITTED USES
(SPECIAL USE PERMIT)",,"PROHIBITED USES
",
,,,,Zoning Code,SIC,Zoning Code,SIC,Zoning Code,SIC,Zoning Code,SIC
,,,,,,,,,,,
R-S,Residential Suburban District,,Y,800A; community care facilities including daycare and foster home (six or fewer persons); crop and tree farming and grazing lands; family daycare facilities in single-family dwelling or duplex; community garden; room and board for not more than two paying guests per dwelling unit when located within principal building; residential accessory uses and buildings customarily appurtenant to a permitted use; living quarters for persons regularly employed on the premises when located within principal building; 800B,,"family animal farm; temporary structures and uses; young farmer projects on sites of twenty thousand square feet or more on which a child may be permitted to raise one kid, lamb, or calf for a one-year period; accessory buildings containing plumbing fixtures; accessory dwelling units",,"bed and breakfast inns; community care facilities including nursing homes, retirement homes, daycare and foster homes (seven or more persons); health facilities for inpatient and outpatient psychiatric care and treatment; off-street parking facilities accessory to a contiguous commercial property not to exceed one hundred feet from the boundary of the site they are intended to serve; plant nurseries and greenhouses; noncommercial recreation areas, buildings and facilities such as parks, country clubs, golf courses, and riding, swimming and tennis clubs; educational, religious, cultural, or public utility or public service uses and buildings, but not including corporation yards, storage or repair yards, and warehouses; two-family dwellings (duplexes) on corner lots having an area of seven thousand five hundred square feet or more; riding stables on parcels at least five acres in size for the boarding of horses to serve the neighborhood",,,
R-1,Single-Family Residence District,,Y,single-family dwelling; community care facilities including daycare and foster homes (six or fewer persons); family daycare in single-family dwelling or duplex; community garden; room and board for not more than two paying guests per dwelling unit when located within principal building; accessory dwelling units,,,,,,,
R-L,Multiple Residence – Low Rise District,,Y,"830; 840; community care facilities including daycare, retirement homes and foster homes (six or fewer); small family daycare; large family daycare facilities in single-family dwelling or duplex; two-family dwellings; community garden; single-family dwellings; park and recreational facilities; room and board for not more than two paying guests per dwelling unit when located within principal building; accessory dwelling units",,"a.    Accessory buildings containing plumbing fixtures subject to the provisions of Section 24.12.140.

b.    Temporary structures and uses.",,"a.    Bed-and-breakfast inns, subject to requirements in Part 9, Chapter 24.12.

b.    Community care facilities including daycare, retirement home, foster home, and nursing home (seven or more persons).

c.    Accessory dwelling units subject to the provisions of Chapter 24.16 Part 2, except that accessory dwelling units are not subject to approval of a design permit.

d.    Dormitories, fraternity/sorority residence halls, boardinghouses.

e.    Health facilities for inpatient and outpatient psychiatric care and treatment.

f.    Off-street parking facilities accessory to a contiguous commercial property not to exceed one hundred feet from the boundary of the site it is intended to serve.

g.    Noncommercial recreation areas, buildings, and facilities such as parks, country clubs, golf courses, and riding, swimming and tennis clubs.

h.    Educational, religious, cultural, public utility or public service buildings and uses; but not including corporation yards, storage or repair yards, and warehouses.

i.    Social halls, lodges, fraternal organizations, and clubs, except those operated for a profit.",,,
R-M,Multiple Residence – Medium Rise District,,Y,"830; 840; community care facilities including daycare, foster home, retirement home (six or fewer persons); community garden; small family daycare facilities; large family daycare facilities in single-family home or duplex; park and recreational facilities; room and board for not more than two paying guests per dwelling unit when located within principal building",,expansion of an existing single-family dwelling if the lot area is six thousand square feet or less; two family dwelling if the lot area exceeds five thousand five hundred square feet; temporary structures and uses; accessory buildings containing plumbing fixtures; single-family dwellings on substandard lots,,"bed-and-breakfast inns; community care facilities (seven or more persons) including daycare, foster home, nursing home, retirement home; dormitories, fraternity/sorority residence halls, boardinghouses; health facilities for inpatient and outpatient psychiatric care and treatment; off-street parking facilities accessory to a contiguous commercial property not to exceed one hundred feet from the boundary of the site they are intended to serve; noncommercial recreation areas and facilities such as parks, country clubs, golf courses, and riding, swimming and tennis clubs; educational, religious, cultural, public utility or public service buildings or uses, and not including corporation yards, storage or repair yards, and warehouses; social halls, lodges, fraternal organizations, and clubs, except those operated for a profit.

",,,
R-H,Multiple Residence – High Density District,,Y,"830; 840; 510A; garages and parking areas, private
",,"800, 810, 300C, 850E, 410B, 930, 710, 500, 510, 530, 540, any other use or service establishment determined by the zoning administrator to be of the same general character as the foregoing uses ",,300c; 850e; 410b; 930; 710; 500; 510; 530; 540; 570,,,
R-T,Tourist Residential District,,Y,,,,,,,,
R-T(A) ,Sub District A Medium Density Residential ,,Y,810; 510a; accessory dwelling units,,"810; accessory buildings containing plumbing fixtures; 830; accessory dwelling units

",,300c; 850e; 510a; 850e; 840; public and private commercial parking; 710; 500; 510; 530; 540; 570; 850b,,,
R-T(B),Sub District B Motel Residential ,,Y,accessory dwelling units,,830; 800; 810; storage and equipment structures; temporary structures and uses; the providing of board and room for not more than two paying guests per dwelling unit when located within principal building; accessory buildings containing plumbing fixtures; wireless telecommunication facilities,,280g; 850e; 510a; 300; 840; 940; 950; 710; 500; 510; 530; 540; 570; 850b,,,
R-T(B)/PER,Motel Residential Performance Overlay,,Y,,,,,indoor and outdoor recreation facilities and other facilities related to existing hotel or motel facilities; bed and breakfast inns.,,,
R-T(C) ,Sub District C - Beach Commercial ,,Y,240; 300; 820; 930; small family day care facility in single-family home or duplex; 280,,accessory buildings containing plumbing fixtures; 610; 250; 500; 570; 240B; 710; 700; 280; 510; 230; 530; 270; 240B; 830; 600; 400; 340; 860; 290; temporary structures and uses; 360B; 720; wireless telecommunications facilities;,,280C; 550; large family daycare facilities; 280H; 400; 840; 560E; 400L; 330; 200F; 830; 630; 930; 800; 860; 720; 620; 540; 400; 810; 310; 820; 510; 420; 410,,,
R-T(C)/PER,Sub District C - Beack Commercial Performance Overlay,,Y,,,"a.    Retail uses, including stores, shops, specialty shops, and neighborhood convenience retail, excluding department stores or discount malls up to a total of 125,000 square feet for the district (230, 250, 290).

b.    Eating establishments, not including drive-up or drive-in services, subject to live entertainment and alcohol regulations of Chapter 24.12 (280).

c.    Off-site parking with fewer than five spaces (930).

d.    Food and beverage stores (except liquor stores) (240).

e.    Acting/art/music/dance/photography studios/schools (610) if such establishments are in compliance with the Design Guidelines and active people-orient uses are located adjacent to the street.

f.    Administrative offices ancillary to a permitted use, if:

•    offices in new structures are screened on street frontage by retail/recreational, and/or active people-oriented uses of at least 25 feet in depth, or

•    offices in existing structures do not create a significant break in pedestrian activity and storefront continuity along the street, and are landscaped according to the Design Guidelines.

g.    Indoor recreational uses and sports and health clubs, provided that the storefront adjacent to the street is designed in compliance with the guidelines, and active people oriented uses are located adjacent to the street (720).

h.    Temporary structures and uses.",,"a.    Public performance space, art galleries and/or museums which are open to the public (600, 610).

b.    Lodging, hotel development provided it incorporates specialty boutiques and/or restaurant(s) on the ground floor, and does not create a significant break in pedestrian activity and storefront continuity along the street (300).

c.    Off-site public/private parking facilities, five or more spaces (930), so long as the total width of access to the facility is not more than 50 feet in width on any one street frontage, provided the parking is visually screened and separated from the street, and that access is designed in a manner not to disrupt retail continuity along Beach Street.

d.    Residential development, located above the first floor of commercial uses, not to exceed 30 dwelling units/acre, if it includes a mixture of unit types (e.g. variety of unit sizes) and if 15% of the total number of units are affordable in accordance with Chapter 24.16 of the zoning regulations.

e.    Theater and cinemas; exhibit space and libraries, auditoriums and conference space, providing significant pedestrian activity and storefront continuity is provided along the streets, (550g, 570b, 570c, 600, 620)

f.    Live performing arts theaters or nightclub establishments providing live entertainment with stage/performance areas greater than 80 square feet or permitting dancing and establishments serving alcoholic beverages; provided, that the storefront is designed in compliance with design guidelines and to include active people-oriented activities of visual interest to the pedestrian and subject to acoustical studies indicating that such uses can achieve the city’s existing noise standards (630).",,,
R-T(D),Sub District D - Beach Residential ,,Y,"a.    Single-family and duplexes (800, 810);

b.    Storage and equipment structures, if ancillary to principal residential use;

c.    Small family day care facility in single-family home or duplex (510a);

d.    Accessory Uses. Other uses and buildings customarily appurtenant to a permitted use, subject to the provisions of Section 24.12.140, Accessory buildings.

e.    Accessory dwelling units subject to the provisions of Chapter 24.16 Part 2, except accessory dwelling units are not subject to approval of a design permit.",,"a.    Small community care residential facilities.

b.    Temporary structures and uses.

c.    Accessory buildings containing plumbing fixtures subject to the provisions of Section 24.12.140.

d.    Accessory dwelling units subject to the provisions of Chapter 24.16 Part 2, except that accessory dwelling units are not subject to approval of a design permit.",,"a.    Bed-and-breakfast inns, subject to the requirements contained in Part 9, Chapter 24.12. (300c)

b.    Community care facilities. (850e)

c.    Large family daycare facilities. (510a)

d.    Multiple dwellings, townhouse dwelling groups, and condominiums, three units or more. (830, 840)

e.    Public and private noncommercial recreation areas, buildings and facilities such as parks. (710)

f.    Public and quasi-public buildings and uses including administrative, recreational, educational, religious, cultural, public utility or public service uses; but not including yards, storage or repair yards, and warehouses. (500, 510, 530, 540, 570)

g.    Retirement homes or centers. (850b)",,,
R-T(E),Sub District E - Beach Medium . High Density Residential,,Y,"a.    Duplex dwellings.

b.    Small family daycare.

c.    Accessory Uses. Other uses and buildings customarily appurtenant to a permitted use, subject to the provisions of Section 24.12.140, accessory buildings.",,"a.    Educational and cultural institutions.

b.    Community care facilities.

c.    Multiple dwellings, townhouse dwelling groups and condominiums, six units or fewer.

d.    Single-family dwellings on substandard lots.",,"a.    Multiple dwellings, townhouse dwelling groups and condominiums, seven units or more, subject to the approval of the city council upon recommendation of the zoning board.

b.    Large family day care facilities.

c.    Recreational buildings and community centers.

d.    Public and private noncommercial recreation areas, buildings and facilities such as parks, playgrounds and basketball courts.

e.    Public and private commercial parking, subject to landscaping and design standards. Non-conforming parking lots must be brought into compliance within five years of adoption of this Part 7E.",,,
